restaurant_name,review_text,rating,processed_text
Punjabi Kitchen,"Excellent place,  good people,  must visit.

Please enjoy chicken biryani.

Value for money",5.0,excellent place good people must visit please enjoy chicken biryani value money
Punjabi Kitchen,The female waiters are so peaky...they continously staring on customer. Even though we req. Them not to roaming around us...bt still they are doing that and giving a weird of looks.,2.0,female waiter peakythey continously staring customer even though req roaming around usbt still giving weird look
Punjabi Kitchen,Worst biriyani ever... If you try biriyani for the first time here you will never want to taste biriyani for lifetime...,1.0,worst biriyani ever try biriyani first time never want taste biriyani lifetime
Punjabi Kitchen,Amazing food. If u r finding the real north indian than this is the one. Am sure ull love it. Service is fast too.,5.0,amazing food u r finding real north indian one sure ull love service fast
Punjabi Kitchen,"unfortunately there's no option to revert on your not so nice reply on my first review. so, i had to make all this effort to write it down again. Now i totally get it may be it's just the way  you treat and speak to your customers (based on your reply) . If your tables were ""booked"" may be ur staff could have just told us POLITELY (which they did NOT) instead of being disrespectful on our faces. That's why we left without ordering. Moreover, i can see other reviews as well about your staff  being rude and unprofessional so... i guess mine is not so fake.
FEEDBACKS ARE TO LEARN AND IMPROVE .",1.0,unfortunately there option revert nice reply first review make effort write totally get may way treat speak customer based reply table booked may ur staff could told u politely instead disrespectful face thats left without ordering moreover see review well staff rude unprofessional guess mine fake feedback learn improve
Punjabi Kitchen,"Indian Food is Good Enough!!!!! Service is an area of concern….they need to hire better staff to increase the quality of service…
Avoid rush hours if possible or else it will be a long waiting!!!!",3.0,indian food good enough service area concern…they need hire better staff increase quality service… avoid rush hour possible else long waiting
Punjabi Kitchen,"Masala Butter milk is a must try item here. Probably, this is the only place in entire Sikkim state where you get such kind of Butter milk.",5.0,masala butter milk must try item probably place entire sikkim state get kind butter milk
Punjabi Kitchen,"Food was good, however, the behaviour of the billing staff was very arrogant. At least in this hospitality industry people need to be humble and generous while dealing.
Regards",2.0,food good however behaviour billing staff arrogant least hospitality industry people need humble generous dealing regard
Punjabi Kitchen,"Best place for Naan in my opinion with their Chilli Garlic Naan being my personal favourite.
You can pair it with a variety of non-veg and veg options provided.
Lassi is good too.",5.0,best place naan opinion chilli garlic naan personal favourite pair variety nonveg veg option provided lassi good
Punjabi Kitchen,"Food is great,but behaviour of staff is very arrogant and ignorant,it's better to try another restaurant,avoid this and save your money.",1.0,food greatbut behaviour staff arrogant ignorantits better try another restaurantavoid save money
Punjabi Kitchen,"Food compare with the price is not worthy. If you have ever tasted food in North Indian restaurants. Trust me you will not be satisfied, as there food tastes  so different. Service is also not good, we had to wait for more than half an hour for food. Trust me there biryani doesn’t tastes like biryani it tastes like Fried  rice",1.0,food compare price worthy ever tasted food north indian restaurant trust satisfied food taste different service also good wait half hour food trust biryani ’ taste like biryani taste like fried rice
Punjabi Kitchen,"The food is delicious, one must try biryani mutton and chicken and sweet lassi. The preparation has an authentic flavour of Punjab. The owner is very welcoming and has pleasant behaviour. If anyone is travelling to gangtok, they must visit this place.",5.0,food delicious one must try biryani mutton chicken sweet lassi preparation authentic flavour punjab owner welcoming pleasant behaviour anyone travelling gangtok must visit place
Punjabi Kitchen,Authentic punjabi food. Had chole bhature and lassi. Both were perfect punjabi.,5.0,authentic punjabi food chole bhature lassi perfect punjabi
Punjabi Kitchen,"Food is good
Specially lassi and chhole bhature.
Dal makhani is also become favourite to your tongue.
And pricing also not too high and not too low .
If you are a food lover then must try it once.",4.0,food good specially lassi chhole bhature dal makhani also become favourite tongue pricing also high low food lover must try
Punjabi Kitchen,"Love the taste of butter chicken and Nan. We tried mutton biryani even we are from hyderabad, surprisingly
it has a  unique pleasant taste.
We enjoyed it.
Try this kitchen if u r near by.",5.0,love taste butter chicken nan tried mutton biryani even hyderabad surprisingly unique pleasant taste enjoyed try kitchen u r near
Punjabi Kitchen,"Great restro for dining in❤❤❤❤
Located on NH10,a few steps ahead of indian oil petrol pump in Majhitar,East sikkim,Punjabi kitchen according to my view is a top rated affordable restaurant for a great meal with family and friends.
Variety of extremely affordable dishes available.
While on way to Gantok or a short trip to sikkim one must take a small halt to visit this place😊",5.0,great restro dining in❤❤❤❤ located nh10a step ahead indian oil petrol pump majhitareast sikkimpunjabi kitchen according view top rated affordable restaurant great meal family friend variety extremely affordable dish available way gantok short trip sikkim one must take small halt visit place😊
Punjabi Kitchen,"The food is super delicious and in the place like Sikkim you will get real Punjabi tadka. Only thing is quantity is a bit less. If you eat more sabji with a roti, for two persons single sabji is not sufficient.",5.0,food super delicious place like sikkim get real punjabi tadka thing quantity bit less eat sabji roti two person single sabji sufficient
Punjabi Kitchen,"I visited this place for the very first time, and believe me in you it was worth. And most of all this is one of the finest Indian restaurant I have come across all over Sikkim in 35yrs of living. Excellent food. Thankyou for getting a little of Punjab to Sikkim. It’s worth the price. Keep it up and thankyou. Will visit again❤️",5.0,visited place first time believe worth one finest indian restaurant come across sikkim 35yrs living excellent food thankyou getting little punjab sikkim ’ worth price keep thankyou visit again❤️
Punjabi Kitchen,Nice for North Indian food   I am very with staff or service,4.0,nice north indian food staff service
Punjabi Kitchen,"While living in Sikkim for almost 2 years. Being a Delhite, I find this place kinda my taste.
It has got sizzling Tandoori Chicken and all those other Tandoori things like Paneer Tikka ,etc. It has fulkas or rotis which are really good. It also serves gravy options which are really mouth watering. You should order Chicken Curry and Murg Masalam.
It also serves good beverages options like milk tea ( one should try)
Really good ambience. And prices are also moderate .
The staff is really nice and cooperative.
I guess one will have a really good time having a bite here.",4.0,living sikkim almost 2 year delhite find place kinda taste got sizzling tandoori chicken tandoori thing like paneer tikka etc fulkas rotis really good also serf gravy option really mouth watering order chicken curry murg masalam also serf good beverage option like milk tea one try really good ambience price also moderate staff really nice cooperative guess one really good time bite
Punjabi Kitchen,"It's a good place and the quality of the food is good, compared to other places around here.",4.0,good place quality food good compared place around
Punjabi Kitchen,food are good but waiting period is too long. if you are in hurry and want to have lunch/dine and you have only 15-20 mins than definitely this is not the place but you have time you may try this . cheese paratha was awesome..☺️,4.0,food good waiting period long hurry want lunchdine 1520 min definitely place time may try cheese paratha awesome☺️
Punjabi Kitchen,Super delicious food with great ambiance at a very affordable price. The owners are the kindest and the warmest soul who will definitely fill your tummy not only with their finger licking good food but also their love.,5.0,super delicious food great ambiance affordable price owner kindest warmest soul definitely fill tummy finger licking good food also love
Punjabi Kitchen,Quantity is less as compared to price. Rest everything is good. But it's not like the taste of punjab or typical punjabi food.,3.0,quantity less compared price rest everything good like taste punjab typical punjabi food
Punjabi Kitchen,"Worst experience I've ever had in my life..
It's was very costly in such a simple food item and though it was not good in taste also and I wouldn't recommend you people to go there..
Such a bad experience which I ever had at this restaurant.... 😡😡😡",1.0,worst experience ive ever life costly simple food item though good taste also wouldnt recommend people go bad experience ever restaurant 😡😡😡
Punjabi Kitchen,"They are just doing time pass I guess. First eating place I have seen there water wasn't available 😂
I had ordered Rajma Masala Chicken Curry Rice & Chapati.
Chicken was Okay but Rajma masala was tasteless and it was smelling. They used old boiled Rajma. 😐 worst food but for SMIT College Students this is the one place to eat.",1.0,time pas guess first eating place seen water wasnt available 😂 ordered rajma masala chicken curry rice chapati chicken okay rajma masala tasteless smelling used old boiled rajma 😐 worst food smit college student one place eat
Punjabi Kitchen,"We tried biriyani here ,it's taste good but it's not biriyani it's seems like ghee polao with little bit masala they give two pieces of chicken leg and wings from gravy chicken .in a place like majhitar it's more than enough actually but if you want exact biriyani then please don't try but for a different experience you can try it's not tastes bad.",3.0,tried biriyani taste good biriyani seems like ghee polao little bit masala give two piece chicken leg wing gravy chicken place like majhitar enough actually want exact biriyani please dont try different experience try taste bad
Punjabi Kitchen,A great place to stop if you are returning from Gangtok to Darjeeling .,5.0,great place stop returning gangtok darjeeling
Punjabi Kitchen,"Very nice menu...
Dishes are well balanced and really tasty...
Price is slightly on the higher side but worth for the quality, taste and hygiene...",4.0,nice menu dish well balanced really tasty price slightly higher side worth quality taste hygiene
Punjabi Kitchen,"Very Subtle Place. The food is decent, slightly over priced if you're going alone or going with just one person. Go in a group and have fun with friends and enjoy the food. Lassi is best. And so is the dal makhani😍",4.0,subtle place food decent slightly priced youre going alone going one person go group fun friend enjoy food lassi best dal makhani😍
Punjabi Kitchen,"Very good food, everything we tried was on point. Service is a bit slow, but all food is prepared fresh. The taste justifies the time :)",5.0,good food everything tried point service bit slow food prepared fresh taste justifies time
Punjabi Kitchen,"Thank you for serving the best foods near Rangpo.Today, I have tasted your dishes for the 1st time and am very much satisfied.🙏",5.0,thank serving best food near rangpotoday tasted dish 1st time much satisfied🙏
Punjabi Kitchen,"Food is great, but a bit expensive for the quantity they provide. Good place though, especially for SMIT students!",4.0,food great bit expensive quantity provide good place though especially smit student
Punjabi Kitchen,"Very poor service and the staff is also very rude, order takes too much time to serve, ac doesn't work most of the time , water is not clean, taste of food is not worth the price",1.0,poor service staff also rude order take much time serve ac doesnt work time water clean taste food worth price
Punjabi Kitchen,"Most convenient place to eat as it is just next to the highway, good authentic food available, the usp of this restaurant is the variety of birth Indian dishes.. overall fantastic",5.0,convenient place eat next highway good authentic food available usp restaurant variety birth indian dish overall fantastic
Punjabi Kitchen,The food is really nice.. But they take time to serve the order.. And they run out of space always.. They don't have space to accommodate many customers.,3.0,food really nice take time serve order run space always dont space accommodate many customer
"Imperfecto, Restro Lounge","Aesthetic restaurant cum bar foods look good and ofcourse taste good come and try out guys... at hotel imperfecto 🙌🏻
And also thanks to our attendent Priyanka Roy for her nice service and well behaviour 🙏🏻",5.0,aesthetic restaurant cum bar food look good ofcourse taste good come try guy hotel imperfecto 🙌🏻 also thanks attendent priyanka roy nice service well behaviour 🙏🏻
"Imperfecto, Restro Lounge","It was supeeerrrbb
The food was sooooo delicious that we licked our fingers",5.0,supeeerrrbb food sooooo delicious licked finger
"Imperfecto, Restro Lounge","The service and the food are great and the price according to the food is reasonable. The waiter who served us was also very nice  and helpful. She was friendly and greeted us with warm smiles. Overall, a great experience.",5.0,service food great price according food reasonable waiter served u also nice helpful friendly greeted u warm smile overall great experience
"Imperfecto, Restro Lounge",Awesome food and service excellent 👌 and atmosphere best 🥰🥰🥰 this items was sujeas by mr pritam and it’s was really good thank you imperfeto,5.0,awesome food service excellent 👌 atmosphere best 🥰🥰🥰 item sujeas mr pritam ’ really good thank imperfeto
"Imperfecto, Restro Lounge","The food and drinks we ordered were very tasty. Noodles, rice, and curries we had were all good and up to the expectations taste wise. I felt that the quantity of food should have been little more. They are quite less. The ambience and decorations are good enough. The restaurant is clean and hygienic. The price of the food is reasonable. Overall we had a good experience.",4.0,food drink ordered tasty noodle rice curry good expectation taste wise felt quantity food little quite less ambience decoration good enough restaurant clean hygienic price food reasonable overall good experience
"Imperfecto, Restro Lounge",Neat and clean. Very hygienic.  Frankly waiter. Good service. Tasty food,5.0,neat clean hygienic frankly waiter good service tasty food
"Imperfecto, Restro Lounge",The food and service quality was very truly exceptional nd mr pema make us very comfortable nd his service was excellent 👍,5.0,food service quality truly exceptional nd mr pema make u comfortable nd service excellent 👍
"Imperfecto, Restro Lounge",Loved the vibe and mostly mr.sarin who attend us was extremely humble and kind to us thank u and thank u the entire team excellent place,5.0,loved vibe mostly mrsarin attend u extremely humble kind u thank u thank u entire team excellent place
"Imperfecto, Restro Lounge",Nice place to eat clean Good hospitality food was super tasty and staff members are also very polite 💗,5.0,nice place eat clean good hospitality food super tasty staff member also polite 💗
"Imperfecto, Restro Lounge","Everything was so good
Food 👌
Service 💯
Priyank Roy is such a sweet person here. Her service is 10 out of 10.",5.0,everything good food 👌 service 💯 priyank roy sweet person service 10 10
"Imperfecto, Restro Lounge","Before 7th may i had a very positive feelings about this restaurant.But on 7th of may i had a lunch at here which completely changed my opinion about their food & service .

When we went for lunch ,the restaurant was quite free but the waiter 1st suggested to change the seat without any proper reason we had done that which is quite inconvenient.

Food quality was too poor ,the laccha paratha we ordered was burned and we requested to change it but again they have served the same without changing .We had ordered  prawn salt pepper but they had served us one corn dish ,but during ordering we had shown the item in the menu to the waiter .

So this is the incident which happed with me so please be careful during ordering as it can spiil your mood .",1.0,7th may positive feeling restaurantbut 7th may lunch completely changed opinion food service went lunch restaurant quite free waiter 1st suggested change seat without proper reason done quite inconvenient food quality poor laccha paratha ordered burned requested change served without changing ordered prawn salt pepper served u one corn dish ordering shown item menu waiter incident happed please careful ordering spiil mood
"Imperfecto, Restro Lounge","We had an awesome experience, good food, ambiance was great, and staff were also quite humble and friendly specially Priyanka Roy di was really kind, sweet and humble.She made us feel very comfortable there.",5.0,awesome experience good food ambiance great staff also quite humble friendly specially priyanka roy di really kind sweet humbleshe made u feel comfortable
"Imperfecto, Restro Lounge","I had a wonderful experience at this restaurant! The food was absolutely delicious — every dish was fresh, flavorful, and beautifully presented. The ambiance was cozy and inviting, making it a perfect place to relax and enjoy a meal.

A special thanks to Priyanka Roy from the staff — she was incredibly polite, attentive, and made sure we were comfortable throughout our visit. Her warm and friendly service truly added to our experience. Highly recommend this place and will definitely be coming back!",5.0,wonderful experience restaurant food absolutely delicious — every dish fresh flavorful beautifully presented ambiance cozy inviting making perfect place relax enjoy meal special thanks priyanka roy staff — incredibly polite attentive made sure comfortable throughout visit warm friendly service truly added experience highly recommend place definitely coming back
"Imperfecto, Restro Lounge",All is so good.. specially staff behaviour is excellent,5.0,good specially staff behaviour excellent
"Imperfecto, Restro Lounge","Nice ambient and good hospitality. Good for starters and chineese foods.
For main course they uses ready gravy which not gave taste and masala in butter masala.
Otherwise great place to hangout with friends and family.",5.0,nice ambient good hospitality good starter chineese food main course us ready gravy gave taste masala butter masala otherwise great place hangout friend family
"Imperfecto, Restro Lounge",I personally always love visiting imperfecto...today we kinda came last minute...but the staff here is sooo good...they offered what's best and hospitality was amazing! Food to I know is always good! But the hospitality we received today was great! Specially Priyanka she really caring and so responding..her behavior was perfect! Very professional but still vibin . She is perfect for a good place like this.,5.0,personally always love visiting imperfectotoday kinda came last minutebut staff sooo goodthey offered whats best hospitality amazing food know always good hospitality received today great specially priyanka really caring respondingher behavior perfect professional still vibin perfect good place like
"Imperfecto, Restro Lounge","It was really nice
Service was someone
Thank you Priyanka Roy for beautiful service",5.0,really nice service someone thank priyanka roy beautiful service
"Imperfecto, Restro Lounge",So I really like this place! Good music good setup! The bar is pretty cool! And the most thing! hospitality was very nice,5.0,really like place good music good setup bar pretty cool thing hospitality nice
"Imperfecto, Restro Lounge",The food in Imperfecto Restro Lounge is great 👍They are very helpful N Cooperating Kitchen team service team including all staff Thank you everyone  N Specially thanks  to Mr Manip Chef....Guys you should visit it...,5.0,food imperfecto restro lounge great 👍they helpful n cooperating kitchen team service team including staff thank everyone n specially thanks mr manip chefguys visit
"Imperfecto, Restro Lounge","There is nice decoration ,best  for birthday celebration and all other party's,all disces are so good.Must Try American cripsy corn .",4.0,nice decoration best birthday celebration partysall disces goodmust try american cripsy corn
"Imperfecto, Restro Lounge",Food amd atmosphere is great..Great experience with priyanka roy and her service is very good and polite.. We will again visit here,5.0,food amd atmosphere greatgreat experience priyanka roy service good polite visit
"Imperfecto, Restro Lounge","Great staff , great food , lovely vibe",5.0,great staff great food lovely vibe
"Imperfecto, Restro Lounge","The place is fantastic with great food and service especially ""Sachin"", he is just fantastic and very friendly, always ready to give the best of himself and treat every customer special.",5.0,place fantastic great food service especially sachin fantastic friendly always ready give best treat every customer special
"Imperfecto, Restro Lounge",Great service and had a good experience.. liked it. And also the staff named Priyanka was good and welcoming. Food was also great.,5.0,great service good experience liked also staff named priyanka good welcoming food also great
"Imperfecto, Restro Lounge",The staff behavior was very good! I liked the food too. It is quite expensive though but worth it.,5.0,staff behavior good liked food quite expensive though worth
"Imperfecto, Restro Lounge",Nice little place & cozy. Food is good. Hospitable. Nice ambience for chilling out with family or friends.,5.0,nice little place cozy food good hospitable nice ambience chilling family friend
"Imperfecto, Restro Lounge",The atmosphere was great. The waitress Priyanka was very sweet and professional. Thank you for the food. Cheers!,5.0,atmosphere great waitress priyanka sweet professional thank food cheer
"Imperfecto, Restro Lounge","The restaurant,food,service and everything was so perfect & good ❤️ would love to visit again😁",5.0,restaurantfoodservice everything perfect good ❤️ would love visit again😁
"Imperfecto, Restro Lounge",Had an amazing experience with everything. Especially Service given by Priyanka Roy made us comfortable and welcoming .,5.0,amazing experience everything especially service given priyanka roy made u comfortable welcoming
"Imperfecto, Restro Lounge","The vibe in this place is fantastic. The food prices are reasonable, and the service is amazing.. special mention to “Sachin da” for amazing service…",5.0,vibe place fantastic food price reasonable service amazing special mention “ sachin da ” amazing service…
"Imperfecto, Restro Lounge",Priyanka Roy and Sachin chettri gives a very good  service nd give a very good hospitality and very good restaurant too plez do visit I really love their services ❤️,3.0,priyanka roy sachin chettri give good service nd give good hospitality good restaurant plez visit really love service ❤️
"Imperfecto, Restro Lounge","Priyanka (Waiter) is respectful,kind and good person 🙂
Also love the resturant",5.0,priyanka waiter respectfulkind good person 🙂 also love resturant
"Imperfecto, Restro Lounge","The food quality and taste of the food is very very poor. They didn't even know the basic tastes of Punjabi sabji.

The Punjabi sabji was very cold and the taste of the sabji was very bad. Even the Punjabi pakoda was tasteless.

I will not recommend anyone to waste their money at Imperfecto, restro lounge.",1.0,food quality taste food poor didnt even know basic taste punjabi sabji punjabi sabji cold taste sabji bad even punjabi pakoda tasteless recommend anyone waste money imperfecto restro lounge
"Imperfecto, Restro Lounge","The food was delicious and healthy. The presentation as awesome and the service is excellent.
thank you 😊",5.0,food delicious healthy presentation awesome service excellent thank 😊
"Imperfecto, Restro Lounge",Loved this place... Yummy cuisine and beautiful ambiance,4.0,loved place yummy cuisine beautiful ambiance
"Imperfecto, Restro Lounge",Food was very delicious and very good service by Priyanka roy. She was very sweet and friendly.,5.0,food delicious good service priyanka roy sweet friendly
"Imperfecto, Restro Lounge",I love the ambience and service is also so nice. Pleasant place to have meal,5.0,love ambience service also nice pleasant place meal
"Imperfecto, Restro Lounge","The ambience and service is unexpectedly awesome!
You can enjoy the club with friends or visit with family!
Very friendly people and great for party and enjoyment purpose....
It's highly recommended to go once...
Overall best in Majhitar!",4.0,ambience service unexpectedly awesome enjoy club friend visit family friendly people great party enjoyment purpose highly recommended go overall best majhitar
"Imperfecto, Restro Lounge",Specially sachin brother too friendly n perfect in everything 🫠🫠 nd just obsessed with the food’s nd drinks,5.0,specially sachin brother friendly n perfect everything 🫠🫠 nd obsessed food ’ nd drink
"Imperfecto, Restro Lounge","Excellent service 💞 awesome and tasty 😋 food and atmosphere best 😍

Sachin  service boy excellent job 😉",5.0,excellent service 💞 awesome tasty 😋 food atmosphere best 😍 sachin service boy excellent job 😉
"Imperfecto, Restro Lounge",Nice restaurant with good service,5.0,nice restaurant good service
"Imperfecto, Restro Lounge","I visited with my friends to give my birthday treat to them. But I am really disappointed with food and service.. the person who has taken order, he do have any food knowledge . I ask for wine as per standers for all restaurant's all over the world. It's served 150ml.. but imperfecto restro lounge served 100ml..  we have order matar paneer for maincouse , paneer was stinking and matar paneer taste sweet .. same we informed to restro incharge.  He offer us to prepare fresh one but we refused, because it will take time.. we had with dal. Really disappointed.",1.0,visited friend give birthday treat really disappointed food service person taken order food knowledge ask wine per stander restaurant world served 150ml imperfecto restro lounge served 100ml order matar paneer maincouse paneer stinking matar paneer taste sweet informed restro incharge offer u prepare fresh one refused take time dal really disappointed
"Imperfecto, Restro Lounge","Out of my words❤️ It was just more than amazing. Those decorations and then the services were applaudable. Mainly what I noticed was the menu price list is affordable literally. This is for the very first time i went through the low menu price..
Thank you Imperfecto❤️❤️❤️",5.0,words❤️ amazing decoration service applaudable mainly noticed menu price list affordable literally first time went low menu price thank imperfecto❤️❤️❤️
"Imperfecto, Restro Lounge","Food quality are very poor now, I don't know why, earlier the food was so tasty and yummy but now they have degrade thier food quality.Recently I ordered sahi panner and it taste like hell, very much disappointed.",1.0,food quality poor dont know earlier food tasty yummy degrade thier food qualityrecently ordered sahi panner taste like hell much disappointed
"Imperfecto, Restro Lounge",Imperfecto is a place for all kind of people whether it’s family friends anyone … taking about the food your taste buds are never gonna regret it it’s really yummy and the service is just first class the brothers out there are down to earth friendly ready to take your photos videos always smiling and ambience is just woow now they have added a dance area too and every time you go something new you are going to see …. So I must say once you visit As after that your legs will automatically move towards imperfecto ❤️❤️❤️❤️❤️❤️❤️,5.0,imperfecto place kind people whether ’ family friend anyone … taking food taste bud never gon na regret ’ really yummy service first class brother earth friendly ready take photo video always smiling ambience woow added dance area every time go something new going see … must say visit leg automatically move towards imperfecto ❤️❤️❤️❤️❤️❤️❤️
"Imperfecto, Restro Lounge","The staff behavior wasn’t good, the current was not there & the staff were telling was that they can’t clean the table for us if we shift frequently from one place to another. Very rude behavior.",1.0,staff behavior ’ good current staff telling ’ clean table u shift frequently one place another rude behavior
"Imperfecto, Restro Lounge",Food was good and so was the service. However the design was an average replica of a pub in Hauz Khas or Planet Mall(which isn't a bad thing). A renovation could be done after consulting an architect.,4.0,food good service however design average replica pub hauz khas planet mallwhich isnt bad thing renovation could done consulting architect
"Imperfecto, Restro Lounge",Nice Restaurant👌Location is so beautiful 👌 service is excellent 👍 Food omg so yummy and delicious 😋 staff is so helpful especially Mr.Rajeev. i want to visited once more time ☺️☺️,5.0,nice restaurant👌location beautiful 👌 service excellent 👍 food omg yummy delicious 😋 staff helpful especially mrrajeev want visited time ☺️☺️
Relax Point Restaurant cum Bar,"Very good food 😋
Stobers heaven",5.0,good food 😋 stobers heaven
Relax Point Restaurant cum Bar,"Sushant, he is a restaurant owner.. I think best food ever I get in sikkim in this restaurant.. Plz visit one time",5.0,sushant restaurant owner think best food ever get sikkim restaurant plz visit one time
Relax Point Restaurant cum Bar,Amazing place to visit. Tasty food and the owner is very nice in nature.,5.0,amazing place visit tasty food owner nice nature
Relax Point Restaurant cum Bar,Immaculate !!! Simply the best!,5.0,immaculate simply best
Grill and Chill Majhitar,One of the best place I visited till date in majitar .wonderful ambience and service .Food was so Good .surely will visit again .All the best for your new venture .,5.0,one best place visited till date majitar wonderful ambience service food good surely visit best new venture
Grill and Chill Majhitar,"Good food and good ambience for a new restaurant
Staffs were really good..
Best wishes🌻",5.0,good food good ambience new restaurant staff really good best wishes🌻
Grill and Chill Majhitar,Best food in town we really enjoyed a lot with their quality in taste and service.,5.0,best food town really enjoyed lot quality taste service
Grill and Chill Majhitar,Best restaurants in an around majhitar. Food was good and ambience was excellent,5.0,best restaurant around majhitar food good ambience excellent
Grill and Chill Majhitar,Must visit.. tasty food..good and Frank staff..,5.0,must visit tasty foodgood frank staff
Grill and Chill Majhitar,It was relly good place to Hangout with friends and family.,5.0,relly good place hangout friend family
